iter,auc,time,verbosity,objective,metric,threads,eta,max_leaf,min_data,feature_frac,alpha,lambda,min_gain,max_bin
1,0.8249235104669888,0.5196170806884766,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,0,100
1,0.8249235104669888,0.5215122699737549,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,0,255
2,0.8249235104669888,0.532120943069458,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,0,500
3,0.8048419887278584,0.3872561454772949,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,50,100
4,0.8048419887278584,0.3803708553314209,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,50,255
5,0.8048419887278584,0.36652708053588867,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,50,500
6,0.7774607487922705,0.3803679943084717,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,100,100
7,0.7774607487922705,0.34541893005371094,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,100,255
8,0.7774607487922705,0.3397071361541748,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,100,500
9,0.6838214573268921,0.30852675437927246,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,250,100
10,0.6838214573268921,0.3118598461151123,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,250,255
11,0.6838214573268921,0.32235002517700195,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.0,250,500
12,0.8249557165861514,0.5435669422149658,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,0,100
13,0.8249557165861514,0.5119860172271729,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,0,255
14,0.8249557165861514,0.5232701301574707,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,0,500
15,0.8047453703703704,0.3748049736022949,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,50,100
16,0.8047453703703704,0.3739039897918701,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,50,255
17,0.8047453703703704,0.3823728561401367,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,50,500
18,0.7776016505636071,0.34093284606933594,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,100,100
19,0.7776016505636071,0.3482940196990967,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,100,255
20,0.7776016505636071,0.34821200370788574,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,100,500
21,0.6838214573268921,0.3141951560974121,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,250,100
22,0.6838214573268921,0.3155839443206787,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,250,255
23,0.6838214573268921,0.3141303062438965,-1,binary,auc,9,0.001,5,5,0.1,0.0,0.01,250,500
24,0.8225422705314009,0.5245051383972168,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,0,100
25,0.8225422705314009,0.5279381275177002,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,0,255
26,0.8225422705314009,0.5241961479187012,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,0,500
27,0.8017129629629629,0.368427038192749,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,50,100
28,0.8017129629629629,0.3650088310241699,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,50,255
29,0.8017129629629629,0.37398791313171387,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,50,500
30,0.7778733896940419,0.33845996856689453,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,100,100
31,0.7778733896940419,0.33606505393981934,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,100,255
32,0.7778733896940419,0.33763790130615234,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,100,500
33,0.6837832125603864,0.3110208511352539,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,250,100
34,0.6837832125603864,0.31056785583496094,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,250,255
35,0.6837832125603864,0.35097789764404297,-1,binary,auc,9,0.001,5,5,0.1,0.0,1,250,500
36,0.8115408615136877,0.5543344020843506,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,0,100
37,0.8115408615136877,0.5306529998779297,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,0,255
38,0.8115408615136877,0.5186350345611572,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,0,500
39,0.797619766505636,0.3690831661224365,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,50,100
40,0.797619766505636,0.36035919189453125,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,50,255
41,0.797619766505636,0.3606090545654297,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,50,500
42,0.772000805152979,0.33782219886779785,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,100,100
43,0.772000805152979,0.3517138957977295,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,100,255
44,0.772000805152979,0.32732295989990234,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,100,500
45,0.6463758051529791,0.2963988780975342,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,250,100
46,0.6463758051529791,0.3011138439178467,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,250,255
47,0.6463758051529791,0.2980690002441406,-1,binary,auc,9,0.001,5,5,0.1,0.0,5,250,500
48,0.7757508051529791,0.514733076095581,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,0,100
49,0.7757588566827698,0.5350148677825928,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,0,255
50,0.7757588566827698,0.5284271240234375,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,0,500
51,0.7528109903381643,0.3453209400177002,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,50,100
52,0.7528109903381643,0.34367799758911133,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,50,255
53,0.7528109903381643,0.3426229953765869,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,50,500
54,0.6563999597423511,0.31009411811828613,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,100,100
55,0.6563999597423511,0.30903196334838867,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,100,255
56,0.6563999597423511,0.30931615829467773,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,100,500
57,0.4728381642512077,0.2911868095397949,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,250,100
58,0.4728381642512077,0.28811120986938477,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,250,255
59,0.4728381642512077,0.28849101066589355,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,250,500
60,0.8247181964573269,0.5395591259002686,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,0,100
61,0.8247181964573269,0.5191328525543213,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,0,255
62,0.8247181964573269,0.531825065612793,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,0,500
63,0.804837962962963,0.3744068145751953,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,50,100
64,0.804837962962963,0.38071203231811523,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,50,255
65,0.804837962962963,0.37714195251464844,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,50,500
66,0.7774607487922705,0.3501460552215576,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,100,100
67,0.7774607487922705,0.34618115425109863,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,100,255
68,0.7774607487922705,0.5026299953460693,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,100,500
69,0.6838214573268921,0.351513147354126,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,250,100
70,0.6838214573268921,0.584414005279541,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,250,255
71,0.6838214573268921,0.311704158782959,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,250,500
72,0.8248470209339775,0.5293731689453125,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,0,100
73,0.8248470209339775,0.5412271022796631,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,0,255
74,0.8248470209339775,0.5379841327667236,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,0,500
75,0.8047453703703704,0.38457798957824707,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,50,100
76,0.8047453703703704,0.379270076751709,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,50,255
77,0.8047453703703704,0.377856969833374,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,50,500
78,0.7776016505636071,0.34780287742614746,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,100,100
79,0.7776016505636071,0.34948134422302246,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,100,255
80,0.7776016505636071,0.35109710693359375,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,100,500
81,0.6838214573268921,0.3189399242401123,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,250,100
82,0.6838214573268921,0.3195929527282715,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,250,255
83,0.6838214573268921,0.32337093353271484,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,250,500
84,0.8225623993558776,0.5324709415435791,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,0,100
85,0.8225623993558776,0.5328867435455322,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,0,255
86,0.8225623993558776,0.5639989376068115,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,0,500
87,0.8011684782608695,0.3724508285522461,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,50,100
88,0.8011684782608695,0.3730001449584961,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,50,255
89,0.8011684782608695,0.3684971332550049,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,50,500
90,0.7778733896940419,0.33379411697387695,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,100,100
91,0.7778733896940419,0.33733201026916504,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,100,255
92,0.7778733896940419,0.34069132804870605,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,100,500
93,0.6837832125603864,0.3159632682800293,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,250,100
94,0.6837832125603864,0.318267822265625,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,250,255
95,0.6837832125603864,0.31684184074401855,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,250,500
96,0.8115187198067634,0.5254173278808594,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,0,100
97,0.8115187198067634,0.5326991081237793,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,0,255
98,0.8115187198067634,0.5447721481323242,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,0,500
99,0.797637882447665,0.36926984786987305,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,50,100
100,0.797637882447665,0.3675801753997803,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,50,255
101,0.797637882447665,0.36441493034362793,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,50,500
102,0.772000805152979,0.33712005615234375,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,100,100
103,0.772000805152979,0.33753299713134766,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,100,255
104,0.772000805152979,0.33590078353881836,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,100,500
105,0.6463758051529791,0.30805397033691406,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,250,100
106,0.6463758051529791,0.3049650192260742,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,250,255
107,0.6463758051529791,0.3214089870452881,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,250,500
108,0.7757950885668277,0.5340890884399414,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,0,100
109,0.7757950885668277,0.5232598781585693,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,0,255
110,0.7757950885668277,0.5307037830352783,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,0,500
111,0.7528109903381643,0.34574103355407715,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,50,100
112,0.7528109903381643,0.3506162166595459,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,50,255
113,0.7528109903381643,0.34622788429260254,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,50,500
114,0.6563999597423511,0.3163750171661377,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,100,100
115,0.6563999597423511,0.31546902656555176,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,100,255
116,0.6563999597423511,0.3118429183959961,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,100,500
117,0.4728381642512077,0.2902038097381592,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,250,100
118,0.4728381642512077,0.29134488105773926,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,250,255
119,0.4728381642512077,0.28980422019958496,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,250,500
120,0.8242451690821256,0.5280439853668213,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,0,100
121,0.8242451690821256,0.5318961143493652,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,0,255
122,0.8242451690821256,0.5271339416503906,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,0,500
123,0.8030032206119163,0.3824019432067871,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,50,100
124,0.8030032206119163,0.3787038326263428,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,50,255
125,0.8030032206119163,0.37538886070251465,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,50,500
126,0.7771306360708534,0.3474128246307373,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,100,100
127,0.7771306360708534,0.34743690490722656,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,100,255
128,0.7771306360708534,0.350477933883667,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,100,500
129,0.6838214573268921,0.31893014907836914,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,250,100
130,0.6838214573268921,0.3220341205596924,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,250,255
131,0.6838214573268921,0.31514978408813477,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,250,500
132,0.8241384863123993,0.5311520099639893,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,0,100
133,0.8241384863123993,0.5197937488555908,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,0,255
134,0.8241384863123993,0.5301527976989746,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,0,500
135,0.8029891304347827,0.37650203704833984,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,50,100
136,0.8029891304347827,0.3781397342681885,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,50,255
137,0.8029891304347827,0.42690181732177734,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,50,500
138,0.7771306360708534,0.3468928337097168,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,100,100
139,0.7771306360708534,0.34564900398254395,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,100,255
140,0.7771306360708534,0.35121583938598633,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,100,500
141,0.6838214573268921,0.317047119140625,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,250,100
142,0.6838214573268921,0.32147693634033203,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,250,255
143,0.6838214573268921,0.29881715774536133,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,250,500
144,0.8201177536231885,0.5208280086517334,-1,binary,auc,9,0.001,5,5,0.1,1,1,0,100
145,0.8201177536231885,0.5361268520355225,-1,binary,auc,9,0.001,5,5,0.1,1,1,0,255
146,0.8201177536231885,0.5325009822845459,-1,binary,auc,9,0.001,5,5,0.1,1,1,0,500
147,0.8007065217391303,0.37282896041870117,-1,binary,auc,9,0.001,5,5,0.1,1,1,50,100
148,0.8007065217391303,0.3715400695800781,-1,binary,auc,9,0.001,5,5,0.1,1,1,50,255
149,0.8007065217391303,0.37190699577331543,-1,binary,auc,9,0.001,5,5,0.1,1,1,50,500
150,0.7768186392914654,0.3421509265899658,-1,binary,auc,9,0.001,5,5,0.1,1,1,100,100
151,0.7768186392914654,0.3400568962097168,-1,binary,auc,9,0.001,5,5,0.1,1,1,100,255
152,0.7768186392914654,0.3352339267730713,-1,binary,auc,9,0.001,5,5,0.1,1,1,100,500
153,0.6729599436392915,0.3155820369720459,-1,binary,auc,9,0.001,5,5,0.1,1,1,250,100
154,0.6729599436392915,0.3172159194946289,-1,binary,auc,9,0.001,5,5,0.1,1,1,250,255
155,0.6729599436392915,0.31636619567871094,-1,binary,auc,9,0.001,5,5,0.1,1,1,250,500
156,0.8098782206119162,0.5392599105834961,-1,binary,auc,9,0.001,5,5,0.1,1,5,0,100
157,0.8098782206119162,0.5324568748474121,-1,binary,auc,9,0.001,5,5,0.1,1,5,0,255
158,0.8098782206119162,0.517509937286377,-1,binary,auc,9,0.001,5,5,0.1,1,5,0,500
159,0.795239533011272,0.36792516708374023,-1,binary,auc,9,0.001,5,5,0.1,1,5,50,100
160,0.795239533011272,0.3597090244293213,-1,binary,auc,9,0.001,5,5,0.1,1,5,50,255
161,0.795239533011272,0.3885171413421631,-1,binary,auc,9,0.001,5,5,0.1,1,5,50,500
162,0.7565660225442834,0.3330807685852051,-1,binary,auc,9,0.001,5,5,0.1,1,5,100,100
163,0.7565660225442834,0.3274080753326416,-1,binary,auc,9,0.001,5,5,0.1,1,5,100,255
164,0.7565660225442834,0.3419528007507324,-1,binary,auc,9,0.001,5,5,0.1,1,5,100,500
165,0.6463758051529791,0.29358720779418945,-1,binary,auc,9,0.001,5,5,0.1,1,5,250,100
166,0.6463758051529791,0.29996180534362793,-1,binary,auc,9,0.001,5,5,0.1,1,5,250,255
167,0.6463758051529791,0.3024001121520996,-1,binary,auc,9,0.001,5,5,0.1,1,5,250,500
168,0.7734208937198068,0.4948387145996094,-1,binary,auc,9,0.001,5,5,0.1,1,25,0,100
169,0.7734168679549115,0.5332610607147217,-1,binary,auc,9,0.001,5,5,0.1,1,25,0,255
170,0.7734168679549115,0.5247159004211426,-1,binary,auc,9,0.001,5,5,0.1,1,25,0,500
171,0.7485738727858293,0.5264720916748047,-1,binary,auc,9,0.001,5,5,0.1,1,25,50,100
172,0.7485738727858293,0.38648486137390137,-1,binary,auc,9,0.001,5,5,0.1,1,25,50,255
173,0.7485738727858293,0.34644484519958496,-1,binary,auc,9,0.001,5,5,0.1,1,25,50,500
174,0.6380817230273751,0.30724596977233887,-1,binary,auc,9,0.001,5,5,0.1,1,25,100,100
175,0.6380817230273751,0.3104419708251953,-1,binary,auc,9,0.001,5,5,0.1,1,25,100,255
176,0.6380817230273751,0.31607913970947266,-1,binary,auc,9,0.001,5,5,0.1,1,25,100,500
177,0.4728381642512077,0.29157400131225586,-1,binary,auc,9,0.001,5,5,0.1,1,25,250,100
178,0.4728381642512077,0.28999996185302734,-1,binary,auc,9,0.001,5,5,0.1,1,25,250,255
179,0.4728381642512077,0.2909049987792969,-1,binary,auc,9,0.001,5,5,0.1,1,25,250,500
180,0.8113566827697263,0.5242400169372559,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,0,100
181,0.8113566827697263,0.5288569927215576,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,0,255
182,0.8113566827697263,0.5318901538848877,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,0,500
183,0.7953250805152978,0.36122894287109375,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,50,100
184,0.7953250805152978,0.36347293853759766,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,50,255
185,0.7953250805152978,0.4151020050048828,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,50,500
186,0.7585285829307571,0.33509206771850586,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,100,100
187,0.7585285829307571,0.33525586128234863,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,100,255
188,0.7585285829307571,0.3384060859680176,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,100,500